test1_id	test1_url	test2_id	test2_url	similarity
108	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/123_130.jpg	108	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/123_130.jpg	1.00000
109	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/90_103.jpg	109	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/90_103.jpg	1.00000
110	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/1_0.jpg	110	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/1_0.jpg	1.00000
111	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/119_128.jpg	111	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/119_128.jpg	1.00000
112	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/139_147.jpg	112	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/139_147.jpg	1.00000
113	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/139_146.jpg	113	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/139_146.jpg	1.00000
114	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_14.jpg	114	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_14.jpg	1.00000
115	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/90_102.jpg	115	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/90_102.jpg	1.00000
116	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/89_101.jpg	116	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/89_101.jpg	1.00000
117	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/14_32.jpg	117	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/14_32.jpg	1.00000
118	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/73_91.jpg	118	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/73_91.jpg	1.00000
119	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/88_100.jpg	119	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/88_100.jpg	1.00000
120	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/36_56.jpg	120	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/36_56.jpg	1.00000
121	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_10.jpg	121	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_10.jpg	1.00000
122	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/50_66.jpg	122	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/50_66.jpg	1.00000
123	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/18_36.jpg	123	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/18_36.jpg	1.00000
124	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/18_37.jpg	124	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/18_37.jpg	1.00000
125	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_11.jpg	125	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_11.jpg	1.00000
126	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/36_57.jpg	126	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/36_57.jpg	1.00000
